kaggle,0,6,ORG
second,2073,2079,ORDINAL
zero,2263,2267,CARDINAL
one,2544,2547,CARDINAL
uyte cs,2899,2906,PERSON
february fall,3417,3430,DATE
gre,3520,3523,ORG
gpa,3569,3572,ORG
ken yay,4179,4186,PERSON
eastern university pa,5089,5110,ORG
huang ken,5210,5219,PERSON
charlie brown,5237,5250,PERSON
next year,5704,5713,DATE
london,6853,6859,GPE
uk,7494,7496,GPE
one,8417,8420,CARDINAL
kaggle,8496,8502,PRODUCT
one,8524,8527,CARDINAL
first,8695,8700,ORDINAL
six month ago,8794,8807,DATE
year ago,9167,9175,DATE
zero,9235,9239,CARDINAL
chicago,9536,9543,GPE
kaggle,9602,9608,PERSON
one,11934,11937,CARDINAL
one,11963,11966,CARDINAL
second,12141,12147,ORDINAL
week like month christmas,12174,12199,DATE
nba,12917,12920,ORG
wl min,13029,13035,PERSON
james player,13199,13211,PERSON
usa canada germany,13975,13993,ORG
microsoft,14129,14138,ORG
deloitte,14139,14147,ORG
gpa,14207,14210,ORG
gre,14217,14220,ORG
suny buffalo,14258,14270,PERSON
first,16175,16180,ORDINAL
tableau,16655,16662,GPE
two,16758,16761,CARDINAL
one,16991,16994,CARDINAL
week,17404,17408,DATE
daniel bourke,17948,17961,PERSON
first,17969,17974,ORDINAL
year,18562,18566,DATE
around month,18598,18610,DATE
github thinam journey day,18972,18997,PERSON
maybe day year,19194,19208,DATE
everyday,19343,19351,DATE
next year,19627,19636,DATE
next day,20172,20180,DATE
one,20421,20424,CARDINAL
bruce lee,20552,20561,PERSON
david carradine,20696,20711,PERSON
lesson day,20861,20871,DATE
every single day,20963,20979,DATE
first,21345,21350,ORDINAL
one,21351,21354,CARDINAL
one,21511,21514,CARDINAL
first,21639,21644,ORDINAL
first,21734,21739,ORDINAL
kaggle,21745,21751,PRODUCT
ken lee,21835,21842,PERSON
two,22456,22459,CARDINAL
one,22515,22518,CARDINAL
two,22519,22522,CARDINAL
first,23820,23825,ORDINAL
europe,24205,24211,LOC
year,24323,24327,DATE
first,24676,24681,ORDINAL
first,24796,24801,ORDINAL
one,25574,25577,CARDINAL
one,25821,25824,CARDINAL
san jose,26153,26161,GPE
one,26939,26942,CARDINAL
kaggle,27404,27410,ORG
one,27610,27613,CARDINAL
arabic,28456,28462,NORP
ibm,28700,28703,ORG
year,28830,28834,DATE
anaconda lib,29068,29080,PERSON
panda,29204,29209,ORG
first,30145,30150,ORDINAL
second,30173,30179,ORDINAL
second,30212,30218,ORDINAL
nba,30857,30860,ORG
first,30895,30900,ORDINAL
two,31807,31810,CARDINAL
